# ATLAS_2016_I1458270
# mass_1000021         mass_1000022           2jl                    2jm                    2jt                    4jt                    5j                     6jm                    6jt                    
7.273481e+02           4.264665e+02           1.70e-02               1.38e-02               1.80e-03               1.60e-03               6.00e-03               4.00e-03               2.10e-03               
1.366172e+03           1.045414e+03           4.43e-02               3.44e-02               7.90e-03               5.10e-03               1.60e-02               1.22e-02               6.20e-03               
1.047269e+03           8.494882e+02           1.62e-02               2.04e-02               3.40e-03               1.10e-03               4.50e-03               3.50e-03               1.20e-03               
8.410405e+02           7.494301e+02           8.10e-03               1.21e-02               1.50e-03               4.00e-04               1.50e-03               1.20e-03               5.00e-04               
9.144583e+02           4.348479e+02           7.89e-02               4.20e-02               5.00e-03               6.90e-03               2.77e-02               1.71e-02               7.90e-03               
9.888949e+02           3.473620e+02           1.49e-01               1.11e-01               1.24e-02               2.20e-02               6.66e-02               3.99e-02               2.30e-02               
2.018001e+03           3.934599e+02           3.93e-01               4.67e-01               2.67e-01               2.99e-01               1.85e-01               1.06e-01               1.44e-01               
1.698623e+03           1.197380e+03           1.74e-01               1.11e-01               1.79e-02               1.79e-02               6.32e-02               3.99e-02               1.99e-02               
1.701136e+03           6.517269e+02           3.61e-01               4.10e-01               1.98e-01               2.13e-01               1.85e-01               1.02e-01               1.19e-01               
1.722292e+03           1.197596e+03           2.01e-01               1.30e-01               2.56e-02               1.89e-02               6.82e-02               4.13e-02               2.26e-02               
1.511989e+03           1.891530e+02           2.98e-01               3.52e-01               1.58e-01               2.15e-01               1.57e-01               8.52e-02               1.10e-01               
1.506065e+03           6.004663e+02           3.55e-01               3.75e-01               1.23e-01               1.32e-01               1.53e-01               9.78e-02               9.20e-02               
3.828586e+02           1.999509e+02           7.00e-04               1.30e-03               1.00e-04               1.00e-04               4.00e-04               3.00e-04               1.00e-04               
8.499841e+02           7.846080e+02           1.31e-02               1.31e-02               2.62e-03               0.00e+00               0.00e+00               0.00e+00               0.00e+00               
1.990171e+03           8.469580e+02           4.14e-01               4.77e-01               2.55e-01               2.61e-01               2.05e-01               1.16e-01               1.33e-01               
1.343997e+03           2.724482e+02           2.79e-01               3.17e-01               1.20e-01               1.51e-01               1.50e-01               7.77e-02               9.15e-02               
1.909403e+03           1.205977e+03           3.16e-01               3.00e-01               9.08e-02               6.42e-02               1.40e-01               7.64e-02               6.01e-02               
6.156932e+02           5.576954e+02           6.50e-03               7.00e-03               1.00e-03               3.00e-04               5.00e-04               4.00e-04               2.00e-04               
2.218731e+03           1.242937e+03           4.22e-01               4.72e-01               2.41e-01               2.09e-01               2.01e-01               1.09e-01               1.16e-01               
1.611900e+03           9.542246e+02           2.72e-01               2.41e-01               5.16e-02               4.50e-02               1.18e-01               6.70e-02               4.49e-02               
2.075357e+03           6.684898e+02           4.17e-01               4.90e-01               2.84e-01               2.93e-01               1.94e-01               1.07e-01               1.32e-01               
1.270579e+03           5.870304e+02           2.35e-01               2.10e-01               3.84e-02               4.08e-02               1.09e-01               6.38e-02               4.41e-02               
1.662899e+03           4.683736e+02           3.51e-01               4.07e-01               1.94e-01               2.37e-01               1.77e-01               9.57e-02               1.17e-01               
2.261484e+03           1.411638e+03           3.97e-01               4.34e-01               1.92e-01               1.44e-01               1.87e-01               9.74e-02               9.20e-02               
2.283623e+03           1.222740e+03           4.36e-01               4.96e-01               2.74e-01               2.53e-01               2.11e-01               1.16e-01               1.34e-01               
2.148775e+03           3.539076e+02           4.00e-01               4.78e-01               2.70e-01               3.05e-01               1.85e-01               1.09e-01               1.44e-01               
1.235398e+03           1.084966e+03           1.45e-02               2.19e-02               3.40e-03               1.00e-03               3.20e-03               3.00e-03               1.30e-03               
1.357741e+03           4.856997e+01           2.53e-01               2.92e-01               1.13e-01               1.70e-01               1.36e-01               7.77e-02               9.70e-02               
2.169931e+03           8.997767e+02           4.36e-01               5.02e-01               2.90e-01               2.90e-01               2.05e-01               1.13e-01               1.34e-01               
1.719236e+03           5.163073e+02           3.65e-01               4.23e-01               2.12e-01               2.41e-01               1.81e-01               1.01e-01               1.22e-01               
1.532126e+03           5.079259e+02           3.30e-01               3.79e-01               1.63e-01               1.78e-01               1.72e-01               9.74e-02               1.12e-01               
1.364134e+03           5.912211e+02           2.82e-01               2.77e-01               8.92e-02               6.34e-02               1.41e-01               7.04e-02               5.16e-02               
1.628827e+03           5.915709e+02           3.58e-01               4.05e-01               1.85e-01               1.91e-01               1.80e-01               1.03e-01               1.12e-01               
1.705211e+03           1.560112e+03           1.55e-02               2.29e-02               4.60e-03               8.00e-04               2.60e-03               1.80e-03               1.10e-03               
2.016983e+03           1.663636e+02           3.67e-01               4.38e-01               2.39e-01               2.88e-01               1.75e-01               1.04e-01               1.41e-01               
1.792654e+03           2.017252e+02           3.46e-01               4.11e-01               2.16e-01               2.66e-01               1.73e-01               1.00e-01               1.32e-01               
1.138117e+03           3.235070e+02           2.29e-01               2.32e-01               5.06e-02               5.59e-02               1.15e-01               6.25e-02               5.19e-02               
1.212205e+03           8.490424e+01           2.34e-01               2.56e-01               8.11e-02               1.26e-01               1.45e-01               9.39e-02               1.02e-01               
8.219219e+02           6.577535e+02           9.20e-03               1.26e-02               1.70e-03               6.00e-04               2.30e-03               1.70e-03               1.00e-03               
2.263841e+03           7.520228e+02           4.38e-01               5.14e-01               3.05e-01               3.18e-01               2.03e-01               1.16e-01               1.45e-01               
2.043629e+03           3.406785e+02           3.97e-01               4.72e-01               2.65e-01               2.88e-01               1.83e-01               1.06e-01               1.39e-01               
1.743732e+03           7.064651e+02           3.79e-01               4.33e-01               2.06e-01               2.08e-01               1.94e-01               1.08e-01               1.19e-01               
2.025163e+03           8.135940e+02           4.23e-01               4.88e-01               2.73e-01               2.81e-01               2.10e-01               1.15e-01               1.38e-01               
2.052507e+03           1.614171e+03           1.29e-01               6.88e-02               1.63e-02               8.60e-03               3.74e-02               2.49e-02               1.20e-02               
